,score,training_set_id,number_data,number_layers,number_parameters_ideal,number_parameters_effective,eval_set,duration,number_epoch
0,52.60601560255088,0,1,1,2048,2328,train,148.9525465965271,15
1,317.2151526743362,0,1,1,2048,2328,val,148.9525465965271,15
2,46.72102350439636,0,1,1,2048,2328,test,148.9525465965271,15
3,27.35192557043479,0,2,1,2048,2328,train,148.9525465965271,4
4,351.4827685433689,0,2,1,2048,2328,val,148.9525465965271,4
5,46.38990512203499,0,2,1,2048,2328,test,148.9525465965271,4
6,8.946648852542356,0,4,1,2048,2328,train,148.9525465965271,24
7,250.74477518876637,0,4,1,2048,2328,val,148.9525465965271,24
8,43.02645704836128,0,4,1,2048,2328,test,148.9525465965271,24
9,77.08783019612552,0,8,1,2048,2328,train,148.9525465965271,5
10,658.2059935733935,0,8,1,2048,2328,val,148.9525465965271,5
11,42.94333328063701,0,8,1,2048,2328,test,148.9525465965271,5
12,8.132035989203665,0,1,1,4096,4146,train,218.42299914360046,51
13,157.35382555228068,0,1,1,4096,4146,val,218.42299914360046,51
14,35.69040927721423,0,1,1,4096,4146,test,218.42299914360046,51
15,5.768189830364346,0,2,1,4096,4146,train,218.42299914360046,7
16,156.7740464832214,0,2,1,4096,4146,val,218.42299914360046,7
17,35.21476350334591,0,2,1,4096,4146,test,218.42299914360046,7
18,3.951105593289894,0,4,1,4096,4146,train,218.42299914360046,19
19,143.66623919974958,0,4,1,4096,4146,val,218.42299914360046,19
20,32.67972319015408,0,4,1,4096,4146,test,218.42299914360046,19
21,28.43748142858875,0,8,1,4096,4146,train,218.42299914360046,7
22,255.52346288051115,0,8,1,4096,4146,val,218.42299914360046,7
23,26.204787782727657,0,8,1,4096,4146,test,218.42299914360046,7
24,2.0509959007106207,0,1,1,8192,8214,train,304.8489189147949,48
25,106.26071796441245,0,1,1,8192,8214,val,304.8489189147949,48
26,24.61062555861634,0,1,1,8192,8214,test,304.8489189147949,48
27,2.878034001971263,0,2,1,8192,8214,train,304.8489189147949,10
28,101.67375193581003,0,2,1,8192,8214,val,304.8489189147949,10
29,22.149221872917195,0,2,1,8192,8214,test,304.8489189147949,10
30,0.7447276053815333,0,4,1,8192,8214,train,304.8489189147949,36
31,75.96577339904616,0,4,1,8192,8214,val,304.8489189147949,36
32,18.066101392686694,0,4,1,8192,8214,test,304.8489189147949,36
33,6.418228993800326,0,8,1,8192,8214,train,304.8489189147949,11
34,38.734621994819214,0,8,1,8192,8214,val,304.8489189147949,11
35,8.751175164095228,0,8,1,8192,8214,test,304.8489189147949,11
36,0.7906332665335128,0,1,1,16384,16719,train,180.9891276359558,35
37,81.40509579521789,0,1,1,16384,16719,val,180.9891276359558,35
38,19.759109621396977,0,1,1,16384,16719,test,180.9891276359558,35
39,6.1960274513965325,0,2,1,16384,16719,train,180.9891276359558,14
40,67.60737314017918,0,2,1,16384,16719,val,180.9891276359558,14
41,14.035017408071822,0,2,1,16384,16719,test,180.9891276359558,14
42,0.6189771684132733,0,4,1,16384,16719,train,180.9891276359558,10
43,45.307745166105555,0,4,1,16384,16719,val,180.9891276359558,10
44,9.288552096216506,0,4,1,16384,16719,test,180.9891276359558,10
45,1.1773129418261215,0,8,1,16384,16719,train,180.9891276359558,6
46,7.014909967796682,0,8,1,16384,16719,val,180.9891276359558,6
47,2.2014156918269485,0,8,1,16384,16719,test,180.9891276359558,6
48,52.188543568743334,0,1,2,2048,2328,train,141.71430039405823,23
49,357.3124647040547,0,1,2,2048,2328,val,141.71430039405823,23
50,49.27155171870484,0,1,2,2048,2328,test,141.71430039405823,23
51,29.13814824369579,0,2,2,2048,2328,train,141.71430039405823,5
52,363.18925392074453,0,2,2,2048,2328,val,141.71430039405823,5
53,48.84764355171177,0,2,2,2048,2328,test,141.71430039405823,5
54,12.515305990816582,0,4,2,2048,2328,train,141.71430039405823,10
55,275.1283823908399,0,4,2,2048,2328,val,141.71430039405823,10
56,44.95004695587063,0,4,2,2048,2328,test,141.71430039405823,10
57,65.33680189136268,0,8,2,2048,2328,train,141.71430039405823,5
58,431.5839082638567,0,8,2,2048,2328,val,141.71430039405823,5
59,43.8635878755462,0,8,2,2048,2328,test,141.71430039405823,5
60,27.268822700080307,0,1,2,4096,4146,train,183.5313630104065,14
61,265.83214242855956,0,1,2,4096,4146,val,183.5313630104065,14
62,45.98392538921815,0,1,2,4096,4146,test,183.5313630104065,14
63,9.548864254970011,0,2,2,4096,4146,train,183.5313630104065,28
64,204.93618220687927,0,2,2,4096,4146,val,183.5313630104065,28
65,41.04657598733349,0,2,2,4096,4146,test,183.5313630104065,28
66,10.05385154427149,0,4,2,4096,4146,train,183.5313630104065,9
67,198.8140536459384,0,4,2,4096,4146,val,183.5313630104065,9
68,38.55430795065079,0,4,2,4096,4146,test,183.5313630104065,9
69,35.25252031308995,0,8,2,4096,4146,train,183.5313630104065,5
70,538.3103618153491,0,8,2,4096,4146,val,183.5313630104065,5
71,30.475997641177774,0,8,2,4096,4146,test,183.5313630104065,5
72,5.198168978390127,0,1,2,8192,8214,train,416.5955376625061,46
73,146.52488051355576,0,1,2,8192,8214,val,416.5955376625061,46
74,34.011612074982175,0,1,2,8192,8214,test,416.5955376625061,46
75,16.08203896807304,0,2,2,8192,8214,train,416.5955376625061,8
76,148.3748374041677,0,2,2,8192,8214,val,416.5955376625061,8
77,32.37566904529945,0,2,2,8192,8214,test,416.5955376625061,8
78,2.6207659802823744,0,4,2,8192,8214,train,416.5955376625061,34
79,109.90300024079279,0,4,2,8192,8214,val,416.5955376625061,34
80,25.65192984481513,0,4,2,8192,8214,test,416.5955376625061,34
81,11.019058138813874,0,8,2,8192,8214,train,416.5955376625061,22
82,94.8736106537128,0,8,2,8192,8214,val,416.5955376625061,22
83,12.695391783342664,0,8,2,8192,8214,test,416.5955376625061,22
84,3.27111620389589,0,1,2,16384,16719,train,370.7221579551697,33
85,130.0957686235923,0,1,2,16384,16719,val,370.7221579551697,33
86,29.81141107849544,0,1,2,16384,16719,test,370.7221579551697,33
87,25.05281991096407,0,2,2,16384,16719,train,370.7221579551697,4
88,141.10736883433518,0,2,2,16384,16719,val,370.7221579551697,4
89,28.323776975534003,0,2,2,16384,16719,test,370.7221579551697,4
90,1.4052875196984231,0,4,2,16384,16719,train,370.7221579551697,32
91,79.83745693896913,0,4,2,16384,16719,val,370.7221579551697,32
92,16.572548825582224,0,4,2,16384,16719,test,370.7221579551697,32
93,2.2263880250655634,0,8,2,16384,16719,train,370.7221579551697,20
94,20.488691212672517,0,8,2,16384,16719,val,370.7221579551697,20
95,3.8664831346953243,0,8,2,16384,16719,test,370.7221579551697,20
